plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Manufacturing Plant,"Sandvik, Inc., FL",1,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",2,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",3,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",4,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",5,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",6,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",7,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",8,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",9,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",10,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",11,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",12,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",13,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",14,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",17,PV Modules,72873.259046,0.0,72873.259046,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",18,PV Modules,67864.128021,0.0,67864.128021,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",19,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",20,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",21,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",22,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",23,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",24,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",25,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",26,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",1,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",2,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",3,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",4,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",5,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",6,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",7,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",8,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",9,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",10,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",11,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",12,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",13,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",14,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",17,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",18,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",19,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",20,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",21,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",22,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",23,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",24,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",25,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",26,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",1,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",2,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",3,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",4,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",5,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",6,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",7,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",8,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",9,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",10,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",11,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",12,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",13,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",14,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",15,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",16,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",17,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",18,PV Modules,103954.8042,0.0,103954.8042,0.0
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",19,PV Modules,103954.8042,0.0,103954.8042,0.0
